               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046859,           0.0084058,                   0,             0.00285,             0.85075,            0.025608,            0.008498,            0.043864,            0.006274,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.051168,           0.0084103,                   0,           0.0028667,             0.85572,            0.033404,            0.008699,            0.051291,            0.005698,                   0,            0.040517,           0.0065173,           0.0065173
                   2,            0.049703,           0.0071589,                   0,           0.0027167,             0.81095,            0.012218,           0.0034527,            0.064491,           0.0046472,                   0,            0.010351,           0.0096844,           0.0096844
                   3,            0.052519,           0.0062723,                   0,           0.0029333,             0.87562,            0.016902,           0.0052466,            0.053628,           0.0053237,                   0,           0.0096241,           0.0096241,           0.0096241
                   4,            0.051786,           0.0073721,                   0,           0.0030333,             0.90547,            0.041049,            0.012691,            0.047614,            0.005656,                   0,           0.0096241,           0.0096241,           0.0096241
                   5,            0.046781,           0.0073271,                   0,           0.0029833,             0.89055,            0.060945,            0.017099,            0.047767,            0.005711,                   0,           0.0094987,           0.0094987,           0.0094987
                   6,            0.048106,           0.0077545,                   0,           0.0031333,             0.93532,             0.04887,            0.016201,            0.046775,           0.0056724,                   0,           0.0093734,           0.0093734,           0.0093734
                   7,            0.045149,           0.0073921,                   0,           0.0030333,             0.90547,             0.10685,             0.03054,            0.046214,           0.0057307,                   0,           0.0092481,           0.0092481,           0.0092481
                   8,            0.042012,           0.0069599,                   0,             0.12593,             0.58209,             0.31559,             0.10114,            0.044641,           0.0053438,                   0,           0.0091228,           0.0091228,           0.0091228
                   9,            0.047482,           0.0072546,                   0,             0.63235,             0.26528,             0.39642,             0.16144,            0.043178,           0.0054832,                   0,           0.0089975,           0.0089975,           0.0089975
                  10,             0.04342,           0.0073515,                   0,             0.94324,             0.16538,             0.40699,             0.12534,             0.04578,            0.005082,                   0,           0.0088722,           0.0088722,           0.0088722
                  11,            0.042983,           0.0069913,                   0,             0.96632,             0.14279,             0.40518,             0.15934,            0.038733,            0.005526,                   0,           0.0087468,           0.0087468,           0.0087468
                  12,            0.039592,           0.0074435,                   0,             0.69249,             0.25373,             0.40502,             0.13328,            0.039425,           0.0053158,                   0,           0.0086215,           0.0086215,           0.0086215
                  13,            0.038106,           0.0065526,                   0,             0.54356,             0.25871,             0.36941,            0.099681,            0.036435,           0.0052966,                   0,           0.0084962,           0.0084962,           0.0084962
                  14,            0.038741,            0.006991,                   0,             0.71322,             0.43306,             0.60151,             0.27154,            0.035936,           0.0050977,                   0,           0.0083709,           0.0083709,           0.0083709
                  15,            0.039237,           0.0067856,                   0,              0.7211,             0.54229,             0.61568,             0.19747,            0.037868,           0.0048255,                   0,           0.0082456,           0.0082456,           0.0082456
                  16,             0.03596,           0.0059569,                   0,             0.66866,             0.49751,             0.60026,             0.24249,            0.036886,           0.0047548,                   0,           0.0081203,           0.0081203,           0.0081203
                  17,            0.042894,           0.0064158,                   0,             0.72917,             0.56257,             0.68367,             0.29737,            0.034227,           0.0045648,                   0,           0.0079949,           0.0079949,           0.0079949
                  18,             0.03902,           0.0060848,                   0,              0.7562,             0.58639,             0.68213,             0.25633,            0.036796,           0.0041959,                   0,           0.0078696,           0.0078696,           0.0078696
                  19,            0.040604,           0.0058768,                   0,              0.8326,             0.61861,              0.7836,             0.33131,            0.032997,           0.0044048,                   0,           0.0077443,           0.0077443,           0.0077443
                  20,            0.037698,           0.0058841,                   0,             0.86999,             0.63255,             0.75178,              0.3172,            0.034532,           0.0041947,                   0,            0.007619,            0.007619,            0.007619
                  21,            0.034964,           0.0053629,                   0,             0.73497,             0.60697,             0.67148,             0.23873,            0.034742,            0.004067,                   0,           0.0074937,           0.0074937,           0.0074937
                  22,            0.034513,           0.0052232,                   0,             0.76707,             0.63896,             0.73083,             0.27935,            0.033982,           0.0040053,                   0,           0.0073684,           0.0073684,           0.0073684
                  23,            0.034954,           0.0052229,                   0,             0.79775,             0.66723,             0.73987,             0.25898,            0.035552,           0.0037914,                   0,            0.007243,            0.007243,            0.007243
                  24,            0.034229,           0.0052491,                   0,              0.8387,             0.72434,              0.8254,             0.37047,            0.031651,           0.0038587,                   0,           0.0071177,           0.0071177,           0.0071177
                  25,            0.034051,            0.004796,                   0,             0.77106,             0.72139,             0.79124,             0.34745,            0.032045,           0.0037633,                   0,           0.0069924,           0.0069924,           0.0069924
                  26,            0.034273,           0.0050202,                   0,             0.79392,             0.72835,             0.82013,             0.32795,            0.031737,           0.0036671,                   0,           0.0068671,           0.0068671,           0.0068671
                  27,            0.035263,           0.0055409,                   0,             0.66503,             0.72139,             0.61186,             0.20185,            0.033011,             0.00362,                   0,           0.0067418,           0.0067418,           0.0067418
                  28,             0.03451,           0.0051602,                   0,              0.8382,             0.77612,             0.83161,             0.39496,            0.029417,           0.0036426,                   0,           0.0066165,           0.0066165,           0.0066165
                  29,            0.031926,           0.0058462,                   0,             0.88626,             0.81095,             0.86815,             0.36925,            0.028491,           0.0035695,                   0,           0.0064911,           0.0064911,           0.0064911
                  30,            0.030372,           0.0049433,                   0,             0.86541,               0.801,             0.84829,             0.33658,            0.029251,           0.0035058,                   0,           0.0063658,           0.0063658,           0.0063658
                  31,            0.031586,           0.0048545,                   0,             0.89802,             0.80597,             0.86538,             0.42916,            0.026641,           0.0034713,                   0,           0.0062405,           0.0062405,           0.0062405
