               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.031245,           0.0047251,                   0,             0.91863,             0.83582,             0.90323,             0.42069,            0.029315,           0.0033883,                   0,           0.0061152,           0.0061152,           0.0061152
                  33,             0.03075,           0.0041942,                   0,             0.92688,              0.8408,             0.89417,             0.45388,            0.028778,           0.0033414,                   0,           0.0059899,           0.0059899,           0.0059899
                  34,            0.033575,            0.004908,                   0,              0.8698,             0.85075,             0.87492,             0.38594,            0.027459,           0.0033682,                   0,           0.0058646,           0.0058646,           0.0058646
                  35,            0.032907,           0.0049375,                   0,             0.92369,             0.84577,             0.90749,             0.44288,            0.025853,           0.0033428,                   0,           0.0057392,           0.0057392,           0.0057392
                  36,            0.029446,           0.0045988,                   0,             0.88492,             0.84164,             0.88997,             0.43785,            0.025685,            0.003242,                   0,           0.0056139,           0.0056139,           0.0056139
                  37,            0.028703,           0.0041224,                   0,             0.88659,             0.83085,             0.88164,             0.43648,            0.026072,           0.0032104,                   0,           0.0054886,           0.0054886,           0.0054886
                  38,             0.02965,           0.0041667,                   0,             0.88214,              0.8408,             0.90423,             0.43083,            0.025503,           0.0032149,                   0,           0.0053633,           0.0053633,           0.0053633
                  39,            0.028681,            0.004694,                   0,             0.90499,             0.82587,             0.90822,             0.44324,            0.026925,           0.0031273,                   0,            0.005238,            0.005238,            0.005238
                  40,             0.02981,           0.0039014,                   0,             0.92573,             0.84577,             0.91355,             0.44933,             0.02632,           0.0030833,                   0,           0.0051127,           0.0051127,           0.0051127
                  41,            0.028893,           0.0044858,                   0,             0.88316,             0.87562,             0.90645,             0.47994,            0.026044,           0.0031122,                   0,           0.0049873,           0.0049873,           0.0049873
                  42,            0.028954,           0.0043111,                   0,             0.87795,             0.85891,             0.90036,             0.39325,             0.02806,           0.0030333,                   0,            0.004862,            0.004862,            0.004862
                  43,            0.027502,           0.0045858,                   0,             0.89301,             0.87204,             0.92164,             0.41789,             0.02668,           0.0030081,                   0,           0.0047367,           0.0047367,           0.0047367
                  44,            0.029979,           0.0043441,                   0,             0.89283,              0.8704,             0.92344,             0.49308,            0.024033,           0.0030228,                   0,           0.0046114,           0.0046114,           0.0046114
                  45,            0.026225,           0.0043989,                   0,              0.9217,             0.87843,             0.93559,             0.49635,            0.023745,            0.002996,                   0,           0.0044861,           0.0044861,           0.0044861
                  46,            0.026696,           0.0045103,                   0,             0.91659,             0.87476,             0.93304,             0.48361,            0.024399,           0.0030181,                   0,           0.0043608,           0.0043608,           0.0043608
                  47,            0.027034,           0.0045696,                   0,             0.91355,             0.86567,             0.93355,             0.50896,            0.021809,           0.0030061,                   0,           0.0042354,           0.0042354,           0.0042354
                  48,             0.02558,            0.004406,                   0,             0.92478,             0.87065,             0.94188,              0.4749,            0.024318,           0.0029588,                   0,           0.0041101,           0.0041101,           0.0041101
                  49,            0.026379,           0.0042561,                   0,             0.91501,             0.85705,             0.93109,             0.50972,             0.02271,           0.0029079,                   0,           0.0039848,           0.0039848,           0.0039848
                  50,             0.02828,           0.0042897,                   0,             0.92952,             0.85075,             0.91561,             0.50804,            0.024501,           0.0028821,                   0,           0.0038595,           0.0038595,           0.0038595
                  51,             0.02644,           0.0043345,                   0,             0.95073,             0.86409,             0.94746,             0.51618,            0.023613,            0.002913,                   0,           0.0037342,           0.0037342,           0.0037342
                  52,            0.026155,           0.0042247,                   0,              0.9327,             0.89635,             0.95291,             0.51178,            0.023751,           0.0028381,                   0,           0.0036089,           0.0036089,           0.0036089
                  53,            0.025232,           0.0039978,                   0,              0.9376,              0.8806,             0.94246,              0.5187,            0.022497,           0.0028338,                   0,           0.0034835,           0.0034835,           0.0034835
                  54,            0.024436,           0.0040962,                   0,             0.94044,             0.86567,             0.93737,             0.48231,            0.024029,           0.0027829,                   0,           0.0033582,           0.0033582,           0.0033582
                  55,            0.025954,           0.0046132,                   0,             0.93693,             0.88685,               0.953,             0.51792,            0.022925,            0.002779,                   0,           0.0032329,           0.0032329,           0.0032329
                  56,            0.024419,             0.00403,                   0,             0.92174,               0.879,             0.93991,              0.5052,            0.023286,           0.0027839,                   0,           0.0031076,           0.0031076,           0.0031076
                  57,            0.025739,           0.0038884,                   0,             0.96122,             0.86323,              0.9434,             0.53477,            0.022478,           0.0028034,                   0,           0.0029823,           0.0029823,           0.0029823
                  58,            0.023786,           0.0038481,                   0,             0.95062,             0.87065,             0.95088,             0.53742,            0.021714,           0.0027831,                   0,            0.002857,            0.002857,            0.002857
                  59,            0.025644,           0.0044335,                   0,             0.94123,             0.87651,             0.94427,              0.5242,            0.022085,            0.002758,                   0,           0.0027316,           0.0027316,           0.0027316
                  60,            0.023682,           0.0042137,                   0,             0.93161,              0.8806,               0.936,             0.52806,            0.021331,           0.0027585,                   0,           0.0026063,           0.0026063,           0.0026063
                  61,            0.024497,           0.0040273,                   0,             0.95568,             0.87562,             0.94673,             0.50298,            0.021633,           0.0027677,                   0,            0.002481,            0.002481,            0.002481
                  62,            0.024291,           0.0039318,                   0,             0.93569,             0.86864,             0.93957,             0.54169,            0.021622,           0.0027297,                   0,           0.0023557,           0.0023557,           0.0023557
                  63,            0.023186,           0.0038452,                   0,             0.95209,             0.88557,             0.94972,              0.5505,            0.021301,           0.0027058,                   0,           0.0022304,           0.0022304,           0.0022304
                  64,            0.024578,            0.003973,                   0,             0.95067,             0.88557,             0.95114,             0.55216,            0.021181,           0.0026931,                   0,           0.0021051,           0.0021051,           0.0021051
                  65,            0.022338,           0.0041036,                   0,              0.9522,             0.88557,               0.952,             0.55548,            0.021026,           0.0026876,                   0,           0.0019797,           0.0019797,           0.0019797
                  66,            0.025237,           0.0039983,                   0,             0.95172,             0.88257,             0.94553,             0.52601,            0.020831,            0.002682,                   0,           0.0018544,           0.0018544,           0.0018544
                  67,            0.023502,           0.0042783,                   0,             0.93526,              0.8806,             0.93454,             0.56498,             0.02007,           0.0026685,                   0,           0.0017291,           0.0017291,           0.0017291
                  68,            0.022504,           0.0036982,                   0,             0.93449,              0.8806,              0.9326,             0.56518,            0.019957,           0.0026671,                   0,           0.0016038,           0.0016038,           0.0016038
                  69,            0.021011,           0.0036033,                   0,             0.95469,             0.89552,             0.94847,             0.54487,            0.020314,           0.0026667,                   0,           0.0014785,           0.0014785,           0.0014785
                  70,            0.021948,           0.0041426,                   0,             0.95123,             0.89552,             0.95619,             0.56663,            0.019825,           0.0026505,                   0,           0.0013532,           0.0013532,           0.0013532
                  71,            0.021737,           0.0038056,                   0,             0.94652,             0.88557,              0.9475,             0.57347,            0.019281,           0.0026668,                   0,           0.0012278,           0.0012278,           0.0012278
                  72,            0.021661,            0.003715,                   0,              0.9416,             0.88231,             0.93766,              0.5673,            0.019489,           0.0026632,                   0,           0.0011025,           0.0011025,           0.0011025
                  73,            0.021608,           0.0037488,                   0,              0.9465,             0.88015,             0.94949,              0.5473,            0.019665,           0.0026601,                   0,          0.00097722,          0.00097722,          0.00097722
                  74,            0.021235,           0.0037495,                   0,              0.9365,             0.88054,             0.94339,             0.56658,            0.019284,           0.0026404,                   0,           0.0008519,           0.0008519,           0.0008519
                  75,            0.021195,           0.0039659,                   0,             0.93158,             0.89552,             0.94002,              0.5688,            0.018959,            0.002642,                   0,          0.00072658,          0.00072658,          0.00072658
                  76,            0.019803,           0.0039421,                   0,             0.93077,             0.89552,             0.94625,             0.58303,             0.01868,           0.0026256,                   0,          0.00060127,          0.00060127,          0.00060127
                  77,            0.024645,           0.0040381,                   0,              0.9271,             0.89552,             0.94089,             0.58898,            0.018584,           0.0026196,                   0,          0.00047595,          0.00047595,          0.00047595
                  78,            0.021049,           0.0039742,                   0,             0.94064,             0.89055,             0.95174,             0.58761,            0.018335,           0.0026167,                   0,          0.00035063,          0.00035063,          0.00035063
